ticker,displayName,securityType,isCore,yahooSymbol,localEvents,reachable,epsQuarters,revQuarters,hasTtmRevenue,hasTtmEbitda,priceBars,priceReachable,state,reasons
SAP US,"SAP SE",operating,false,SAP,4,true,4,4,true,true,20,true,OK,
APH US,"Amphenol",operating,false,APH,4,true,4,4,true,true,20,true,OK,
058970 KS,"EMRO. Incorporated",operating,false,058970.KQ,2,true,2,4,true,true,21,true,OK,
CRWD US,"CrowdStrike Holdings",operating,false,CRWD,4,true,4,4,true,true,20,true,OK,
301510 C1,"Googol Technology Co.",operating,false,301510.SZ,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
UTRN IT,"Utron",operating,false,UTRN.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
SDI LN,"SDI Group",operating,false,SDI.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
000727 C1,"TPV Technology Co.",operating,false,000727.SZ,0,true,0,1,true,true,22,true,PARTIAL,no-past-quarters
0YB0 GR,"IonQ",operating,false,0YB0.MU,0,true,0,4,true,true,2,true,PARTIAL,no-past-quarters|thin-price-history
SAYN GR,"Sanmina",operating,false,SAYN.F,0,true,0,3,true,true,21,true,PARTIAL,no-past-quarters
4811 JP,"DREAMARTS",operating,false,4811.T,2,true,2,0,true,true,21,true,OK,
6230 TT,"Nidec Chaun-Choung Technology",operating,false,6230.TW,4,true,4,4,true,true,22,true,OK,
300377 C1,"Shenzhen Ysstech Info-Tech Co.,Ltd",operating,false,300377.SZ,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
TRCS LN,"Tracsis",operating,false,TRCS.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
3856 JP,"Abalance",operating,false,3856.T,2,true,2,3,true,true,21,true,OK,
SGGEF US,"The Sage Group",operating,false,SGGEF,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
IDR SM,"Indra Sistemas, S.A.",operating,false,IDR.MC,4,true,4,3,true,true,20,true,OK,
600360 CH,"Jilin Sino-Microelectronics Co.",operating,false,600360.SS,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
IDA GR,"Indra Sistemas, S.A.",operating,false,IDA.F,0,true,0,3,true,true,21,true,PARTIAL,no-past-quarters
600718 CH,"Neusoft",operating,false,600718.SS,0,true,0,3,true,true,22,true,PARTIAL,no-past-quarters
